City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
287,Kokopo,PG,81.12,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
288,Bengkulu,ID,73.96,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
289,Kpandae,GH,70.63,overcast clouds,8.4689,-0.0113,Catholic Guest House
290,Miranda,CO,77.13,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
291,Palmer,US,72.99,overcast clouds,42.1584,-72.3287,Wedgewood Motel
294,Sao Sebastiao,BR,65.07,broken clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
295,Abha,SA,67.82,few clouds,18.2164,42.5053,Abha Hotel
298,Beloha,MG,70.97,clear sky,-25.1667,45.05,
300,Keti Bandar,PK,80.8,clear sky,24.1447,67.4497,Haji laloo memon house
302,Laguna,US,75.29,broken clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
305,Sahawar,IN,78.53,few clouds,27.8,78.85,कलुआ नगला
306,Labuhan,ID,77.56,overcast clouds,-6.8844,112.2051,DoubleFAG
307,Abu Samrah,SY,73.09,clear sky,35.3029,37.1841,
309,Camacha,PT,69.22,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
313,Ahome,MX,85.95,overcast clouds,25.9167,-109.1833,La quinta del diablo
316,Balingasay,PH,80.74,overcast clouds,16.3573,119.8564,Rock Garden Resort
317,Balikpapan,ID,75.24,overcast clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
319,Andros Town,BS,85.96,overcast clouds,24.7,-77.7667,CBH
320,Lagoa,PT,73.76,few clouds,39.05,-27.9833,Casa Das Faias
321,Rosetta,EG,77.83,scattered clouds,31.4044,30.4164,Green Valley
325,Douentza,ML,81.46,light rain,14.9951,-2.9517,Ogomono Doumbo
327,Manacapuru,BR,82.44,overcast clouds,-3.2997,-60.6206,Novo Hotel
328,Umm Lajj,SA,80.42,clear sky,25.0213,37.2685,Moon light Furnished Units
329,Keningau,MY,71.82,broken clouds,5.3378,116.1602,Sabindo Hotel
330,Kroya,ID,75.72,overcast clouds,-7.6331,109.2461,Wisma Legoq Kost
331,Bahia Honda,CU,81.61,few clouds,22.9036,-83.1592,Casa Gualberto - Deysi
332,Manakara,MG,69.06,light rain,-22.1333,48.0167,La Residence Manakara
333,Sao Filipe,CV,79.11,broken clouds,14.8961,-24.4956,Hotel Xaguate
334,Kentau,KZ,69.84,clear sky,43.5206,68.5094,Safary
335,Chitral,PK,69.13,clear sky,35.8462,71.7858,PTDC Motel Chitral
336,Katobu,ID,77.36,overcast clouds,-4.9408,122.5276,La Ode Husein
338,Itoman,JP,81.37,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
341,Marrakesh,MA,75.27,broken clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
